"SampleName";"Locus";"Coverage"
"S105";"D8S1179";1682
"S105";"D9S1122";1667
"S105";"FGA";1618
"S105";"PENTA D";542
"S105";"PENTA E";363
"S105";"TH01";3928
"S105";"TPOX";1213
"S105";"VWA";345
"S106";"CSF1PO";274
"S106";"D10S1248";941
"S106";"D12S391";849
"S106";"D13S317";872
"S106";"D16S539";1190
"S106";"D17S1301";916
"S106";"D18S51";929
"S106";"D19S433";1211
"S106";"D1S1656";259
"S106";"D20S482";3685
"S106";"D21S11";840
"S106";"D22S1045";1310
"S106";"D2S1338";1309
"S106";"D2S441";1541
"S106";"D3S1358";1833
"S106";"D4S2408";1138
"S106";"D5S818";557
"S106";"D6S1043";2893
"S106";"D7S820";777
"S106";"D8S1179";1375
"S106";"D9S1122";1675
"S106";"FGA";1962
"S106";"PENTA D";662
"S106";"PENTA E";323
"S106";"TH01";4456
"S106";"TPOX";578
"S106";"VWA";402
"S107";"CSF1PO";279
"S107";"D10S1248";932
"S107";"D12S391";1072
"S107";"D13S317";1215
"S107";"D16S539";942
"S107";"D17S1301";1175
"S107";"D18S51";1060
"S107";"D19S433";1198
"S107";"D1S1656";281
"S107";"D20S482";3157
"S107";"D21S11";861
"S107";"D22S1045";1683
"S107";"D2S1338";1189
"S107";"D2S441";1576
"S107";"D3S1358";2359
"S107";"D4S2408";1190
"S107";"D5S818";385
"S107";"D6S1043";3161
"S107";"D7S820";723
"S107";"D8S1179";1377
"S107";"D9S1122";1609
"S107";"FGA";2290
"S107";"PENTA D";586
"S107";"PENTA E";444
"S107";"TH01";3438
"S107";"TPOX";662
"S107";"VWA";469
"S108";"CSF1PO";251
"S108";"D10S1248";850
"S108";"D12S391";1095
"S108";"D13S317";1121
"S108";"D16S539";1148
"S108";"D17S1301";1113
"S108";"D18S51";1086
"S108";"D19S433";1212
"S108";"D1S1656";444
"S108";"D20S482";2770
"S108";"D21S11";837
"S108";"D22S1045";1454
"S108";"D2S1338";1228
"S108";"D2S441";1526
"S108";"D3S1358";2536
"S108";"D4S2408";843
"S108";"D5S818";462
"S108";"D6S1043";3064
"S108";"D7S820";759
"S108";"D8S1179";945
"S108";"D9S1122";1129
"S108";"FGA";1868
"S108";"PENTA D";621
"S108";"PENTA E";428
"S108";"TH01";3037
"S108";"TPOX";329
"S108";"VWA";533
"S109";"CSF1PO";292
"S109";"D10S1248";1400
"S109";"D12S391";823
"S109";"D13S317";1132
"S109";"D16S539";1086
"S109";"D17S1301";1165
"S109";"D18S51";968
"S109";"D19S433";1361
"S109";"D1S1656";321
"S109";"D20S482";3901
"S109";"D21S11";414
"S109";"D22S1045";1701
"S109";"D2S1338";1854
"S109";"D2S441";1610
"S109";"D3S1358";2767
"S109";"D4S2408";1326
"S109";"D5S818";379
"S109";"D6S1043";2427
"S109";"D7S820";544
"S109";"D8S1179";1631
"S109";"D9S1122";1528
"S109";"FGA";1969
"S109";"PENTA D";166
"S109";"PENTA E";53
"S109";"TH01";5320
"S109";"TPOX";755
"S109";"VWA";626
"S11";"CSF1PO";534
"S11";"D10S1248";1178
"S11";"D12S391";1374
"S11";"D13S317";889
"S11";"D16S539";1617
"S11";"D17S1301";1010
"S11";"D18S51";1179
"S11";"D19S433";1512
"S11";"D1S1656";335
"S11";"D20S482";4597
"S11";"D21S11";1398
"S11";"D22S1045";1647
"S11";"D2S1338";1333
"S11";"D2S441";2254
"S11";"D3S1358";3069
"S11";"D4S2408";1249
"S11";"D5S818";769
"S11";"D6S1043";2690
"S11";"D7S820";1010
"S11";"D8S1179";1795
"S11";"D9S1122";2974
"S11";"FGA";1540
"S11";"PENTA D";850
"S11";"PENTA E";569
"S11";"TH01";4585
"S11";"TPOX";1274
"S11";"VWA";486
"S110";"CSF1PO";231
"S110";"D10S1248";1000
"S110";"D12S391";1125
"S110";"D13S317";1136
"S110";"D16S539";768
"S110";"D17S1301";1364
"S110";"D18S51";1179
"S110";"D19S433";1318
"S110";"D1S1656";602
"S110";"D20S482";4062
"S110";"D21S11";766
"S110";"D22S1045";1139
"S110";"D2S1338";1351
"S110";"D2S441";1836
"S110";"D3S1358";2512
"S110";"D4S2408";1245
"S110";"D5S818";339
"S110";"D6S1043";3372
"S110";"D7S820";823
"S110";"D8S1179";1448
"S110";"D9S1122";1830
"S110";"FGA";2187
"S110";"PENTA D";513
"S110";"PENTA E";264
"S110";"TH01";3709
"S110";"TPOX";361
"S110";"VWA";596
"S111";"CSF1PO";328
"S111";"D10S1248";831
"S111";"D12S391";797
"S111";"D13S317";1000
"S111";"D16S539";1169
"S111";"D17S1301";1428
"S111";"D18S51";918
"S111";"D19S433";960
"S111";"D1S1656";296
"S111";"D20S482";5243
"S111";"D21S11";789
"S111";"D22S1045";1557
"S111";"D2S1338";1296
"S111";"D2S441";1825
"S111";"D3S1358";2600
"S111";"D4S2408";1896
"S111";"D5S818";633
"S111";"D6S1043";3258
"S111";"D7S820";694
"S111";"D8S1179";1913
"S111";"D9S1122";2232
"S111";"FGA";1878
"S111";"PENTA D";517
"S111";"PENTA E";290
"S111";"TH01";4925
"S111";"TPOX";1194
"S111";"VWA";620
"S112";"CSF1PO";293
"S112";"D10S1248";865
"S112";"D12S391";915
"S112";"D13S317";1214
"S112";"D16S539";1637
"S112";"D17S1301";1537
"S112";"D18S51";1064
"S112";"D19S433";1017
"S112";"D1S1656";197
"S112";"D20S482";4638
"S112";"D21S11";798
"S112";"D22S1045";1597
"S112";"D2S1338";1492
"S112";"D2S441";1476
"S112";"D3S1358";2171
"S112";"D4S2408";1755
"S112";"D5S818";532
"S112";"D6S1043";2675
"S112";"D7S820";870
"S112";"D8S1179";2236
"S112";"D9S1122";1784
"S112";"FGA";2596
"S112";"PENTA D";570
"S112";"PENTA E";345
"S112";"TH01";4913
"S112";"TPOX";1016
"S112";"VWA";566
"S113";"CSF1PO";340
"S113";"D10S1248";1081
"S113";"D12S391";1055
"S113";"D13S317";1047
"S113";"D16S539";1257
"S113";"D17S1301";1455
"S113";"D18S51";1259
"S113";"D19S433";1061
"S113";"D1S1656";393
"S113";"D20S482";5036
"S113";"D21S11";820
"S113";"D22S1045";933
"S113";"D2S1338";1436
"S113";"D2S441";1865
"S113";"D3S1358";2894
"S113";"D4S2408";1741
"S113";"D5S818";824
"S113";"D6S1043";3985
"S113";"D7S820";885
"S113";"D8S1179";1974
"S113";"D9S1122";2754
"S113";"FGA";2234
"S113";"PENTA D";674
"S113";"PENTA E";387
"S113";"TH01";4802
"S113";"TPOX";1319
"S113";"VWA";709
"S114";"CSF1PO";308
"S114";"D10S1248";789
"S114";"D12S391";849
"S114";"D13S317";1012
"S114";"D16S539";1223
"S114";"D17S1301";1160
"S114";"D18S51";970
"S114";"D19S433";1094
"S114";"D1S1656";400
"S114";"D20S482";4155
"S114";"D21S11";673
"S114";"D22S1045";1631
"S114";"D2S1338";698
"S114";"D2S441";1521
"S114";"D3S1358";2572
"S114";"D4S2408";1355
"S114";"D5S818";539
"S114";"D6S1043";3683
"S114";"D7S820";799
"S114";"D8S1179";2030
"S114";"D9S1122";2242
"S114";"FGA";1956
"S114";"PENTA D";711
"S114";"PENTA E";416
"S114";"TH01";5199
"S114";"TPOX";1047
"S114";"VWA";511
"S115";"CSF1PO";306
"S115";"D10S1248";879
"S115";"D12S391";805
"S115";"D13S317";990
"S115";"D16S539";1088
"S115";"D17S1301";1083
"S115";"D18S51";989
"S115";"D19S433";823
"S115";"D1S1656";247
"S115";"D20S482";4191
"S115";"D21S11";673
"S115";"D22S1045";903
"S115";"D2S1338";781
"S115";"D2S441";1552
"S115";"D3S1358";2024
"S115";"D4S2408";1475
"S115";"D5S818";406
"S115";"D6S1043";3029
"S115";"D7S820";732
"S115";"D8S1179";1543
"S115";"D9S1122";1502
"S115";"FGA";1886
"S115";"PENTA D";647
"S115";"PENTA E";311
"S115";"TH01";4234
"S115";"TPOX";1085
"S115";"VWA";443
"S116";"CSF1PO";331
"S116";"D10S1248";1007
"S116";"D12S391";934
"S116";"D13S317";1244
"S116";"D16S539";1269
"S116";"D17S1301";1394
"S116";"D18S51";1369
"S116";"D19S433";1301
"S116";"D1S1656";444
"S116";"D20S482";4481
"S116";"D21S11";824
"S116";"D22S1045";1466
"S116";"D2S1338";819
"S116";"D2S441";1556
"S116";"D3S1358";2430
"S116";"D4S2408";1266
"S116";"D5S818";434
"S116";"D6S1043";3887
"S116";"D7S820";849
"S116";"D8S1179";1718
"S116";"D9S1122";2484
"S116";"FGA";2289
"S116";"PENTA D";946
"S116";"PENTA E";483
"S116";"TH01";3962
"S116";"TPOX";1189
"S116";"VWA";610
"S117";"CSF1PO";358
"S117";"D10S1248";1000
"S117";"D12S391";662
"S117";"D13S317";899
"S117";"D16S539";1238
"S117";"D17S1301";1100
"S117";"D18S51";729
"S117";"D19S433";883
"S117";"D1S1656";386
"S117";"D20S482";3219
"S117";"D21S11";512
"S117";"D22S1045";679
"S117";"D2S1338";852
"S117";"D2S441";1321
"S117";"D3S1358";2011
"S117";"D4S2408";925
"S117";"D5S818";414
"S117";"D6S1043";2835
"S117";"D7S820";757
"S117";"D8S1179";1991
"S117";"D9S1122";1696
"S117";"FGA";2232
"S117";"PENTA D";481
"S117";"PENTA E";255
"S117";"TH01";4243
"S117";"TPOX";1191
"S117";"VWA";474
"S118";"CSF1PO";381
"S118";"D10S1248";751
"S118";"D12S391";620
"S118";"D13S317";977
"S118";"D16S539";1325
"S118";"D17S1301";1498
"S118";"D18S51";1125
"S118";"D19S433";931
"S118";"D1S1656";438
"S118";"D20S482";4385
"S118";"D21S11";579
"S118";"D22S1045";658
"S118";"D2S1338";1181
"S118";"D2S441";1863
"S118";"D3S1358";2177
"S118";"D4S2408";1878
"S118";"D5S818";483
"S118";"D6S1043";2854
"S118";"D7S820";873
"S118";"D8S1179";1881
"S118";"D9S1122";1861
"S118";"FGA";2273
"S118";"PENTA D";464
"S118";"PENTA E";133
"S118";"TH01";5010
"S118";"TPOX";1036
"S118";"VWA";516
"S119";"CSF1PO";224
"S119";"D10S1248";820
"S119";"D12S391";1020
"S119";"D13S317";1142
"S119";"D16S539";1266
"S119";"D17S1301";874
"S119";"D18S51";865
"S119";"D19S433";1466
"S119";"D1S1656";505
"S119";"D20S482";3517
"S119";"D21S11";885
"S119";"D22S1045";2219
"S119";"D2S1338";966
"S119";"D2S441";1429
"S119";"D3S1358";2656
"S119";"D4S2408";833
"S119";"D5S818";449
"S119";"D6S1043";4165
"S119";"D7S820";773
"S119";"D8S1179";1209
"S119";"D9S1122";1288
"S119";"FGA";1840
"S119";"PENTA D";1007
"S119";"PENTA E";404
"S119";"TH01";3351
"S119";"TPOX";500
"S119";"VWA";499
"S12";"CSF1PO";700
"S12";"D10S1248";1054
"S12";"D12S391";1174
"S12";"D13S317";1350
"S12";"D16S539";1761
"S12";"D17S1301";1008
"S12";"D18S51";1271
"S12";"D19S433";1217
"S12";"D1S1656";438
"S12";"D20S482";3812
"S12";"D21S11";1288
"S12";"D22S1045";927
"S12";"D2S1338";1195
"S12";"D2S441";2017
"S12";"D3S1358";2622
"S12";"D4S2408";1824
"S12";"D5S818";701
"S12";"D6S1043";2552
"S12";"D7S820";1011
"S12";"D8S1179";2235
"S12";"D9S1122";3046
"S12";"FGA";1951
"S12";"PENTA D";697
"S12";"PENTA E";416
"S12";"TH01";6187
"S12";"TPOX";1329
"S12";"VWA";578
"S120";"CSF1PO";280
"S120";"D10S1248";1045
"S120";"D12S391";1171
"S120";"D13S317";1384
"S120";"D16S539";1375
"S120";"D17S1301";945
"S120";"D18S51";1109
"S120";"D19S433";1046
"S120";"D1S1656";298
"S120";"D20S482";3356
"S120";"D21S11";862
"S120";"D22S1045";1384
"S120";"D2S1338";804
"S120";"D2S441";1611
"S120";"D3S1358";2964
"S120";"D4S2408";866
"S120";"D5S818";621
"S120";"D6S1043";3396
"S120";"D7S820";732
"S120";"D8S1179";1274
"S120";"D9S1122";1495
"S120";"FGA";2053
"S120";"PENTA D";921
"S120";"PENTA E";422
"S120";"TH01";3987
"S120";"TPOX";455
"S120";"VWA";410
"S121";"CSF1PO";207
"S121";"D10S1248";923
"S121";"D12S391";1218
"S121";"D13S317";1022
"S121";"D16S539";1130
"S121";"D17S1301";1046
"S121";"D18S51";1032
"S121";"D19S433";1684
"S121";"D1S1656";391
"S121";"D20S482";4589
"S121";"D21S11";718
"S121";"D22S1045";1007
"S121";"D2S1338";1009
"S121";"D2S441";1687
"S121";"D3S1358";3157
"S121";"D4S2408";1001
"S121";"D5S818";785
"S121";"D6S1043";2388
"S121";"D7S820";938
"S121";"D8S1179";1639
"S121";"D9S1122";1381
"S121";"FGA";2441
"S121";"PENTA D";740
"S121";"PENTA E";449
"S121";"TH01";4583
"S121";"TPOX";421
"S121";"VWA";493
"S122";"CSF1PO";192
"S122";"D10S1248";952
"S122";"D12S391";1196
"S122";"D13S317";1325
"S122";"D16S539";1249
"S122";"D17S1301";877
"S122";"D18S51";1208
"S122";"D19S433";1720
"S122";"D1S1656";542
"S122";"D20S482";3989
"S122";"D21S11";1043
"S122";"D22S1045";1972
"S122";"D2S1338";1141
"S122";"D2S441";1815
"S122";"D3S1358";2663
"S122";"D4S2408";865
"S122";"D5S818";800
"S122";"D6S1043";3029
"S122";"D7S820";766
"S122";"D8S1179";1411
"S122";"D9S1122";1474
"S122";"FGA";2386
"S122";"PENTA D";831
"S122";"PENTA E";381
"S122";"TH01";4377
"S122";"TPOX";621
"S122";"VWA";499
"S123";"CSF1PO";289
"S123";"D10S1248";973
"S123";"D12S391";998
"S123";"D13S317";1438
"S123";"D16S539";1210
"S123";"D17S1301";1222
"S123";"D18S51";1083
"S123";"D19S433";1299
"S123";"D1S1656";428
"S123";"D20S482";3460
"S123";"D21S11";901
"S123";"D22S1045";906
"S123";"D2S1338";1106
"S123";"D2S441";1803
"S123";"D3S1358";2798
"S123";"D4S2408";1217
"S123";"D5S818";637
"S123";"D6S1043";3272
"S123";"D7S820";860
"S123";"D8S1179";1341
"S123";"D9S1122";1700
"S123";"FGA";2210
"S123";"PENTA D";738
"S123";"PENTA E";381
"S123";"TH01";4616
"S123";"TPOX";553
"S123";"VWA";538
"S124";"CSF1PO";365
"S124";"D10S1248";871
"S124";"D12S391";1125
"S124";"D13S317";1541
"S124";"D16S539";1342
"S124";"D17S1301";969
"S124";"D18S51";1080
"S124";"D19S433";1470
"S124";"D1S1656";672
"S124";"D20S482";3188
"S124";"D21S11";822
"S124";"D22S1045";1281
"S124";"D2S1338";1060
"S124";"D2S441";1914
"S124";"D3S1358";3311
"S124";"D4S2408";1080
"S124";"D5S818";776
"S124";"D6S1043";3133
"S124";"D7S820";871
"S124";"D8S1179";1505
"S124";"D9S1122";1552
"S124";"FGA";2212
"S124";"PENTA D";772
"S124";"PENTA E";396
"S124";"TH01";3880
"S124";"TPOX";615
"S124";"VWA";456
"S125";"CSF1PO";225
"S125";"D10S1248";1032
"S125";"D12S391";1198
"S125";"D13S317";1307
"S125";"D16S539";1294
"S125";"D17S1301";936
"S125";"D18S51";875
"S125";"D19S433";1288
"S125";"D1S1656";368
"S125";"D20S482";3268
"S125";"D21S11";771
"S125";"D22S1045";969
"S125";"D2S1338";1047
"S125";"D2S441";1312
"S125";"D3S1358";2661
"S125";"D4S2408";942
"S125";"D5S818";412
"S125";"D6S1043";2983
"S125";"D7S820";677
"S125";"D8S1179";1036
"S125";"D9S1122";971
"S125";"FGA";2395
"S125";"PENTA D";412
"S125";"PENTA E";333
"S125";"TH01";2980
"S125";"TPOX";361
"S125";"VWA";445
"S127";"CSF1PO";326
"S127";"D10S1248";823
"S127";"D12S391";863
"S127";"D13S317";981
"S127";"D16S539";1060
"S127";"D17S1301";851
"S127";"D18S51";880
"S127";"D19S433";1236
"S127";"D1S1656";219
"S127";"D20S482";2899
"S127";"D21S11";740
"S127";"D22S1045";1079
"S127";"D2S1338";1160
"S127";"D2S441";1270
"S127";"D3S1358";2395
"S127";"D4S2408";1314
"S127";"D5S818";555
"S127";"D6S1043";2496
"S127";"D7S820";686
"S127";"D8S1179";1863
"S127";"D9S1122";1472
"S127";"FGA";1438
"S127";"PENTA D";404
"S127";"PENTA E";297
"S127";"TH01";4856
"S127";"TPOX";822
"S127";"VWA";383
"S128";"CSF1PO";361
"S128";"D10S1248";869
"S128";"D12S391";756
"S128";"D13S317";881
"S128";"D16S539";1047
"S128";"D17S1301";708
"S128";"D18S51";677
"S128";"D19S433";898
"S128";"D1S1656";179
"S128";"D20S482";2298
"S128";"D21S11";517
"S128";"D22S1045";789
"S128";"D2S1338";1118
"S128";"D2S441";1054
"S128";"D3S1358";1902
"S128";"D4S2408";1108
"S128";"D5S818";525
"S128";"D6S1043";2230
"S128";"D7S820";642
"S128";"D8S1179";1379
"S128";"D9S1122";1541
"S128";"FGA";1393
"S128";"PENTA D";509
"S128";"PENTA E";297
"S128";"TH01";3597
"S128";"TPOX";616
"S128";"VWA";385
"S129";"CSF1PO";287
"S129";"D10S1248";808
"S129";"D12S391";723
"S129";"D13S317";952
"S129";"D16S539";1106
"S129";"D17S1301";735
"S129";"D18S51";702
"S129";"D19S433";1134
"S129";"D1S1656";382
"S129";"D20S482";2612
"S129";"D21S11";678
"S129";"D22S1045";1036
"S129";"D2S1338";1304
"S129";"D2S441";1287
"S129";"D3S1358";2187
"S129";"D4S2408";1159
"S129";"D5S818";383
"S129";"D6S1043";2884
"S129";"D7S820";522
"S129";"D8S1179";1582
"S129";"D9S1122";1290
"S129";"FGA";1440
"S129";"PENTA D";435
"S129";"PENTA E";304
"S129";"TH01";4201
"S129";"TPOX";829
"S129";"VWA";374
"S13";"CSF1PO";453
"S13";"D10S1248";892
"S13";"D12S391";1005
"S13";"D13S317";1217
"S13";"D16S539";1275
"S13";"D17S1301";804
"S13";"D18S51";1171
"S13";"D19S433";898
"S13";"D1S1656";222
"S13";"D20S482";2823
"S13";"D21S11";783
"S13";"D22S1045";1798
"S13";"D2S1338";983
"S13";"D2S441";1497
"S13";"D3S1358";2240
"S13";"D4S2408";1192
"S13";"D5S818";396
"S13";"D6S1043";2002
"S13";"D7S820";611
"S13";"D8S1179";1153
"S13";"D9S1122";1907
"S13";"FGA";1307
"S13";"PENTA D";412
"S13";"PENTA E";336
"S13";"TH01";2926
"S13";"TPOX";882
"S13";"VWA";397
"S130";"CSF1PO";272
"S130";"D10S1248";992
"S130";"D12S391";881
"S130";"D13S317";942
"S130";"D16S539";1215
"S130";"D17S1301";825
"S130";"D18S51";1156
"S130";"D19S433";1128
"S130";"D1S1656";301
"S130";"D20S482";3507
"S130";"D21S11";624
"S130";"D22S1045";769
"S130";"D2S1338";1173
"S130";"D2S441";1321
"S130";"D3S1358";2111
"S130";"D4S2408";1155
"S130";"D5S818";422
"S130";"D6S1043";2312
"S130";"D7S820";730
"S130";"D8S1179";1535
"S130";"D9S1122";1500
"S130";"FGA";1509
"S130";"PENTA D";628
"S130";"PENTA E";376
"S130";"TH01";3899
"S130";"TPOX";888
"S130";"VWA";422
"S131";"CSF1PO";251
"S131";"D10S1248";985
"S131";"D12S391";1010
"S131";"D13S317";1380
"S131";"D16S539";1116
"S131";"D17S1301";989
"S131";"D18S51";1249
"S131";"D19S433";1250
"S131";"D1S1656";493
"S131";"D20S482";2941
"S131";"D21S11";744
"S131";"D22S1045";825
"S131";"D2S1338";1326
"S131";"D2S441";1650
"S131";"D3S1358";2274
"S131";"D4S2408";1081
"S131";"D5S818";357
"S131";"D6S1043";3238
"S131";"D7S820";715
"S131";"D8S1179";1343
"S131";"D9S1122";1427
"S131";"FGA";1837
"S131";"PENTA D";574
"S131";"PENTA E";371
"S131";"TH01";3747
"S131";"TPOX";541
"S131";"VWA";530
"S132";"CSF1PO";283
"S132";"D10S1248";785
"S132";"D12S391";1021
"S132";"D13S317";983
"S132";"D16S539";1104
"S132";"D17S1301";1083
"S132";"D18S51";1250
"S132";"D19S433";1446
"S132";"D1S1656";572
"S132";"D20S482";2969
"S132";"D21S11";552
"S132";"D22S1045";1335
"S132";"D2S1338";1266
"S132";"D2S441";1595
"S132";"D3S1358";2224
"S132";"D4S2408";1036
"S132";"D5S818";314
"S132";"D6S1043";2468
"S132";"D7S820";454
"S132";"D8S1179";1407
"S132";"D9S1122";1720
"S132";"FGA";1755
"S132";"PENTA D";445
"S132";"PENTA E";193
"S132";"TH01";4069
"S132";"TPOX";726
"S132";"VWA";530
"S133";"CSF1PO";165
"S133";"D10S1248";848
"S133";"D12S391";805
"S133";"D13S317";986
"S133";"D16S539";826
"S133";"D17S1301";789
"S133";"D18S51";1090
"S133";"D19S433";1047
"S133";"D1S1656";254
"S133";"D20S482";2560
"S133";"D21S11";759
"S133";"D22S1045";1299
"S133";"D2S1338";1350
"S133";"D2S441";1306
"S133";"D3S1358";2030
"S133";"D4S2408";835
"S133";"D5S818";328
"S133";"D6S1043";2669
"S133";"D7S820";702
"S133";"D8S1179";1069
"S133";"D9S1122";896
"S133";"FGA";1663
"S133";"PENTA D";448
"S133";"PENTA E";227
"S133";"TH01";3092
"S133";"TPOX";585
"S133";"VWA";438
"S134";"CSF1PO";305
"S134";"D10S1248";818
"S134";"D12S391";758
"S134";"D13S317";1291
"S134";"D16S539";1131
"S134";"D17S1301";916
"S134";"D18S51";1084
"S134";"D19S433";1157
"S134";"D1S1656";283
"S134";"D20S482";2900
"S134";"D21S11";570
"S134";"D22S1045";741
"S134";"D2S1338";1129
"S134";"D2S441";1291
"S134";"D3S1358";1963
"S134";"D4S2408";1220
"S134";"D5S818";549
"S134";"D6S1043";2847
"S134";"D7S820";605
"S134";"D8S1179";1801
"S134";"D9S1122";1827
"S134";"FGA";1632
"S134";"PENTA D";516
"S134";"PENTA E";324
"S134";"TH01";4579
"S134";"TPOX";831
"S134";"VWA";411
"S135";"CSF1PO";252
"S135";"D10S1248";890
"S135";"D12S391";1107
"S135";"D13S317";1186
"S135";"D16S539";1657
"S135";"D17S1301";1068
"S135";"D18S51";1170
"S135";"D19S433";1551
"S135";"D1S1656";524
"S135";"D20S482";4262
"S135";"D21S11";1161
"S135";"D22S1045";1350
"S135";"D2S1338";1100
"S135";"D2S441";1800
"S135";"D3S1358";2855
"S135";"D4S2408";1483
"S135";"D5S818";599
"S135";"D6S1043";4247
"S135";"D7S820";1111
"S135";"D8S1179";1774
"S135";"D9S1122";1698
"S135";"FGA";1941
"S135";"PENTA D";731
"S135";"PENTA E";479
"S135";"TH01";5307
"S135";"TPOX";876
"S135";"VWA";543
"S136";"CSF1PO";262
"S136";"D10S1248";956
"S136";"D12S391";1149
"S136";"D13S317";1379
"S136";"D16S539";1284
"S136";"D17S1301";1293
"S136";"D18S51";1173
"S136";"D19S433";1416
"S136";"D1S1656";308
"S136";"D20S482";4032
"S136";"D21S11";986
"S136";"D22S1045";1616
"S136";"D2S1338";1239
"S136";"D2S441";1871
"S136";"D3S1358";2608
"S136";"D4S2408";1334
"S136";"D5S818";555
"S136";"D6S1043";2878
"S136";"D7S820";1003
"S136";"D8S1179";1314
"S136";"D9S1122";2021
"S136";"FGA";2542
"S136";"PENTA D";821
"S136";"PENTA E";489
